episode,total_reward,final_U,final_quality,total_cost,num_steps,retrieve_count,reason_count,terminated
57,-2.1158581800212435,0.9999999999999999,0.9241418199787566,1.9000000000000001,13,7,5,True
58,-0.9543436937742044,0.62,0.6456563062257954,0.9999999999999999,8,3,4,True
59,-1.7958581800212436,0.9999999999999999,0.9241418199787566,1.7000000000000002,12,6,5,True
60,-1.6358581800212435,1.0,0.9241418199787566,1.6,11,6,4,True
61,-1.028941421369995,0.7,0.7310585786300049,1.0999999999999999,9,3,5,True
62,-1.9558581800212431,1.0,0.9241418199787566,1.7999999999999998,12,7,4,True
63,-1.1558581800212437,0.9999999999999998,0.9241418199787563,1.3,10,4,5,True
64,-1.3158581800212432,1.0,0.9241418199787566,1.4,9,6,2,True
65,-2.4358581800212438,1.0,0.9241418199787566,2.1,14,8,5,True
66,-1.4758581800212434,1.0,0.9241418199787566,1.5,12,4,7,True
67,-1.635858180021243,1.0,0.9241418199787566,1.5999999999999999,10,7,2,True
68,-1.7958581800212436,0.9999999999999999,0.9241418199787566,1.7000000000000002,12,6,5,True
69,-1.9143436937742047,0.62,0.6456563062257954,1.6,11,6,4,True
70,-0.8901660026875219,0.54,0.549833997312478,0.8999999999999999,7,3,3,True
71,-1.5301660026875217,0.54,0.549833997312478,1.2999999999999998,9,5,3,True
72,-1.6740523812797905,0.91,0.8859476187202091,1.5999999999999999,10,7,2,True
73,-1.1558581800212435,0.9999999999999999,0.9241418199787566,1.3,10,4,5,True
74,-2.157823499114202,0.55,0.5621765008857982,1.7000000000000002,12,6,5,True
75,-0.8778234991142017,0.55,0.5621765008857982,0.8999999999999999,8,2,5,True
76,-1.6597504891196857,0.94,0.9002495108803148,1.6000000000000003,13,4,8,True
77,-1.4758581800212434,1.0,0.9241418199787566,1.5,12,4,7,True
78,-2.1158581800212435,1.0,0.9241418199787566,1.9000000000000001,14,6,7,True
79,-2.435858180021244,1.0,0.9241418199787566,2.1000000000000005,16,6,9,True
80,-1.9258644089891992,0.61,0.6341355910108007,1.6,10,7,2,True
81,-1.9558581800212436,1.0,0.9241418199787566,1.8,14,5,8,True
82,-1.2344652650835348,0.84,0.8455347349164652,1.3,9,5,3,True
83,-1.7958581800212436,1.0,0.9241418199787566,1.7000000000000002,13,5,7,True
84,-1.7958581800212436,1.0,0.9241418199787566,1.7000000000000002,13,5,7,True
85,-1.1178161114414182,0.78,0.8021838885585818,1.2,10,3,6,True
86,-1.2518122278318344,0.64,0.6681877721681662,1.2000000000000004,11,2,8,True
87,-0.7188848219771368,0.6900000000000001,0.7211151780228631,0.8999999999999999,7,3,3,True
88,-1.3158581800212432,1.0,0.9241418199787566,1.4,11,4,6,True
89,-1.4758581800212434,1.0,0.9241418199787566,1.5,12,4,7,True
90,-1.795858180021244,1.0,0.9241418199787566,1.7000000000000004,13,5,7,True
91,-1.7958581800212443,1.0,0.9241418199787566,1.7000000000000006,15,3,11,True
92,-1.3158581800212432,1.0,0.9241418199787566,1.4,11,4,6,True
93,-1.6358581800212435,1.0,0.9241418199787566,1.6,11,6,4,True
94,-3.235858180021245,1.0,0.9241418199787566,2.600000000000001,17,10,6,True
95,-0.5578234991142017,0.55,0.5621765008857982,0.7,7,1,5,True
96,-1.3158581800212437,1.0,0.9241418199787566,1.4000000000000001,10,5,4,True
97,-1.7958581800212434,1.0,0.9241418199787566,1.7,13,5,7,True
98,-1.7958581800212443,0.9999999999999998,0.9241418199787563,1.7000000000000004,12,6,5,True
99,-0.9025701546562506,0.53,0.5374298453437496,0.9000000000000001,6,4,1,True
