U,V,Q_retrieve,Q_reason,Q_terminate
0.33333333333333337,0.30294071603459277,0.22782126757305737,0.2942951861576807,0.30294071603459277
0.3434343434343435,0.3137106467096465,0.2396942369182804,0.3064192791965601,0.3137106467096465
0.3535353535353536,0.32468511726456556,0.2518244922739832,0.3189303410379689,0.32468511726456556
0.36363636363636365,0.33585562413702275,0.264007925967685,0.33152378767837487,0.33585562413702275
0.37373737373737376,0.34721284892038234,0.27623050605097704,0.34407720623907434,0.34721284892038234
0.38383838383838387,0.35874667548550226,0.28847804701300267,0.3565748698973108,0.35874667548550226
0.393939393939394,0.37044621379902615,0.3007362730678253,0.3690013325681907,0.37044621379902615
0.4040404040404041,0.3822998304942617,0.31299088194601193,0.3813415039466851,0.3822998304942617
0.4141414141414142,0.39429518615768067,0.32522760860998373,0.39368720415055203,0.39429518615768067
0.42424242424242425,0.40641927919656007,0.337432288321376,0.4063127958494479,0.40641927919656007
0.43434343434343436,0.4189303410379689,0.3496724720010142,0.4189303410379689,0.4186584960533152
0.4444444444444445,0.43152378767837485,0.3618472549575293,0.43152378767837485,0.4309986674318094
0.4545454545454546,0.4440772062390743,0.373910812212404,0.4440772062390743,0.44342513010268936
0.4646464646464647,0.4565748698973108,0.3858497881293416,0.4565748698973108,0.4559227937609258
0.4747474747474748,0.46900133256819065,0.39765140552618966,0.46900133256819065,0.4684762123216253
0.48484848484848486,0.48134150394668507,0.4093035142880897,0.48134150394668507,0.4810696589620313
0.494949494949495,0.49368720415055206,0.42082657915996974,0.49358072080343995,0.49368720415055206
0.5050505050505051,0.5063127958494479,0.4322963860580818,0.5057048138423195,0.5063127958494479
0.5151515151515152,0.5189303410379689,0.44362060108717577,0.5177001695057384,0.5189303410379689
0.5252525252525253,0.5315237876783748,0.4547890339311231,0.5295537862009739,0.5315237876783748
0.5353535353535354,0.5440772062390743,0.46579211178036645,0.5412533245144978,0.5440772062390743
0.5454545454545455,0.5565748698973108,0.47662090213158276,0.5527871510796177,0.5565748698973108
0.5555555555555556,0.5690013325681906,0.48726713095562063,0.5641443758629774,0.5690013325681906
0.5656565656565657,0.581341503946685,0.49772319627254474,0.5753148827354345,0.581341503946685
0.5757575757575758,0.5935807208034399,0.5079821772170494,0.5862893532903536,0.5935807208034399
0.5858585858585859,0.6057048138423194,0.5180378387185347,0.5970592839654074,0.6057048138423194
0.595959595959596,0.6177001695057384,0.5278846319574655,0.6076169966108724,0.6177001695057384
0.6060606060606061,0.6295537862009739,0.5375176907929837,0.6179556427266345,0.6295537862009739
0.6161616161616162,0.6412533245144978,0.5469328243859224,0.6280692016605565,0.6412533245144978
0.6262626262626263,0.6527871510796177,0.5561265062662726,0.637952473121662,0.6527871510796177
0.6363636363636365,0.6641443758629774,0.5650958601146996,0.647601064412199,0.6641443758629774
0.6464646464646465,0.6753148827354345,0.5738386425439068,0.657011372822882,0.6753148827354345
0.6565656565656566,0.6862893532903536,0.5823532231775659,0.666180563665484,0.6862893532903536
0.6666666666666667,0.6970592839654074,0.5906385623322652,0.6751065444367771,0.6970592839654074
0.6767676767676768,0.7076169966108724,0.5986941866116744,0.6837879356181308,0.7076169966108724
0.686868686868687,0.7179556427266345,0.6065201627220409,0.6922240386165329,0.7179556427266345
0.696969696969697,0.7280692016605564,0.6141170698145313,0.7004148013462675,0.7280692016605564
0.7070707070707072,0.737952473121662,0.6214859706530573,0.7083607819368664,0.737952473121662
0.7171717171717172,0.747601064412199,0.6286283818964167,0.7160631110332523,0.747601064412199
0.7272727272727273,0.757011372822882,0.635546243771183,0.7235234531292283,0.757011372822882
0.7373737373737375,0.7661805636654839,0.6422418893971471,0.7307439673466328,0.7661805636654839
0.7474747474747475,0.7751065444367771,0.6487180140106135,0.7377272680405895,0.7751065444367771
0.7575757575757577,0.7837879356181308,0.6549776443128832,0.7444763855772152,0.7837879356181308
0.7676767676767677,0.7922240386165329,0.6610241081521497,0.7509947275948065,0.7922240386165329
0.7777777777777778,0.8004148013462675,0.6668610047271712,0.7572860410236554,0.8004148013462675
0.787878787878788,0.8083607819368663,0.6724921754807962,0.7633543751039384,0.8083607819368663
0.797979797979798,0.8160631110332522,0.6779216758310262,0.7692040456061691,0.8160631110332522
0.8080808080808082,0.8235234531292283,0.6831537478670962,0.7748396004250029,0.8235234531292283
0.8181818181818182,0.8307439673466328,0.6881927941182719,0.7802657866851148,0.8307439673466328
0.8282828282828284,0.8377272680405895,0.6930433524839867,0.785487519467777,0.8377272680405895
0.8383838383838385,0.8444763855772152,0.6977100723956888,0.7905098522388426,0.8444763855772152
0.8484848484848485,0.8509947275948064,0.7021976922635715,0.795337949033273,0.8509947275948064
0.8585858585858587,0.8572860410236554,0.7040850862922263,0.7999770584281948,0.8572860410236554
0.8686868686868687,0.8633543751039384,0.7059055865163111,0.8044324893157867,0.8633543751039384
0.8787878787878789,0.869204045606169,0.7076604876669803,0.8087095884690397,0.869204045606169
0.888888888888889,0.8748396004250029,0.7093511541126305,0.8128137198775459,0.8748396004250029
0.8989898989898991,0.8802657866851148,0.7109790099906641,0.8167502458168714,0.8802657866851148
0.9090909090909092,0.8854875194677769,0.7125455298254628,0.8205245096036061,0.8854875194677769
0.9191919191919192,0.8905098522388426,0.7140522296567824,0.8241418199787566,0.8905098522388426
0.9292929292929294,0.895337949033273,0.7155006586951116,0.8241418199787566,0.895337949033273
0.9393939393939394,0.8999770584281948,0.7168923915135881,0.8241418199787566,0.8999770584281948
0.9494949494949496,0.9044324893157867,0.7182290207798656,0.8241418199787566,0.9044324893157867
0.9595959595959597,0.9087095884690397,0.7195121505258415,0.8241418199787566,0.9087095884690397
0.9696969696969697,0.9128137198775459,0.7207433899483935,0.8241418199787566,0.9128137198775459
0.9797979797979799,0.9167502458168714,0.7219243477301911,0.8241418199787566,0.9167502458168714
0.98989898989899,0.9205245096036061,0.7230566268662115,0.8241418199787566,0.9205245096036061
1.0,0.9241418199787566,0.7241418199787566,0.8241418199787566,0.9241418199787566
